year,lyme,rf,gf,coy,temp,rain
2007,957,20474,28784,18788,56.8,35.19
2008,926,10971,12524,11592,55.7,40.64
2009,850,10986,18956,24449,55.2,51.25
2010,1046,9690,7134,17889,55.9,41.74
2012,1110,8776,9348,23467,57.6,40.05
2014,1300,3922,8050,22705,54.4,43.75
2016,1261,7944,8289,32811,57.1,45.41
